labid,lowtag,study area,location,lat,long,age.at.col1,th.age,sex,weight,body_condition,pregnancy,collar1,collar1.on,collar1.off,reason.off1,collar2,collar2.on,collar2.off,reason.off2,collar3,collar3.on,collar3.off,reason.off3,mort.date,cwd.test,cwd.result,lab_result_bpv,titer_value,log2,log10,ehdv_result,lb,lb_titer,lc,lc_titer,lg,lg_titer,lh,lh_titer,li,li_titer,lp,lp_titer,exposure_multi,home_range_95_kud_km2,home_range_50_kud_km2,mean_daily_dist_km,prop_habitat_agri,prop_habitat_forest,prop_habitat_wetland,crop_forest_ratio,edge_density,mean_odba,prop_time_resting,prop_time_active,crepuscularity_index,mean_resting_bout_duration_hrs,daily_resting_bout_frequency,fate,mortality_date,mortality_cause 
79,5863,,,,,>2yrs,2,Female,,,,81997,2/13/19,3/13/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/13/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Positive,1600,Negative,100,,,,,,,,,,,,,,,,,,
80,6035,,,,,8mo,NA,Male,,,,29567,2/13/19,7/12/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,7/12/19,FALSE,NA,Positive,20,4.32,1.3,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
81,6510,,,,,8mo,NA,Male,,,,29431,2/10/19,4/1/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
82,6526,,,,,8mo,NA,Male,,,,29536,1/10/19,3/8/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/8/19,TRUE,Negative,Positive,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
83,6508,,,,,8mo,NA,Male,,,,29432,1/20/19,1/24/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,1/24/19,TRUE,Negative,Positive,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
84,6524,,,,,8mo,NA,Female,,,,82053,1/23/19,2/5/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/5/19,TRUE,Negative,Positive,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
85,6502,,,,,8mo,NA,Female,,,,82028,3/8/19,9/12/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,9/12/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
86,6522,,,,,8mo,NA,Female,,,,82060,2/11/19,5/9/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,5/9/19,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
87,6518,,,,,8mo,NA,Female,,,,82054,1/23/19,7/22/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
88,6516,,,,,8mo,NA,Male,,,,29538,3/3/19,5/27/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,5/27/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
89,6504,,,,,>2yrs,2,Male,,,,29553,2/19/19,12/26/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,11/7/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Positive,200,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
90,6786,,,,,8mo,NA,Male,,,,29548,1/25/19,2/25/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/25/19,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,200,,,,,,,,,,,,,,,,,,
91,6788,,,,,8mo,NA,Female,,,,82011,1/21/19,7/6/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
92,6790,,,,,8mo,NA,Male,,,,24925,1/2/19,3/13/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/13/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
93,6792,,,,,8mo,NA,Male,,,,24207,12/30/18,8/22/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
94,6794,,,,,>2yrs,NA,Female,,,,82019,2/13/19,10/15/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/15/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
95,6796,,,,,20mo,NA,Female,,,,82038,1/19/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
96,6798,,,,,20mo,NA,Female,,,,81989,2/11/19,8/17/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
97,6839,,,,,>2yrs,6,Female,,,,81990,3/5/19,11/14/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/14/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,100,,,,,,,,,,,,,,,,,,
98,6870,,,,,>2yrs,4,Female,,,,81991,2/19/19,7/27/22,mortality,NA,NA,NA,NA,NA,NA,NA,NA,7/27/22,FALSE,Not tested,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Positive,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
99,6766,,,,,8mo,NA,Male,,,,24941,1/20/19,2/28/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/28/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
100,6768,,,,,8mo,NA,Male,,,,29446,1/28/19,8/6/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
101,6770,,,,,>2yrs,3,Female,,,,43240,12/29/18,6/14/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,6/14/20,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
102,6772,,,,,>2yrs,NA,Female,,,,82068,2/4/19,1/3/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,1/3/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
103,6774,,,,,8mo,NA,Female,,,,82031,1/12/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
104,6776,,,,,8mo,NA,Male,,,,29566,2/6/19,3/31/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/31/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
105,6780,,,,,20mo,NA,Female,,,,82026,1/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
106,6782,,,,,>2yrs,6,Female,,,,82000,2/1/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
107,6784,,,,,8mo,NA,Female,,,,82030,1/10/19,4/9/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,4/9/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
108,6742,,,,,>2yrs,NA,Female,,,,43208,2/19/19,4/8/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,4/8/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
109,6744,,,,,8mo,NA,Male,,,,29562,1/18/19,9/25/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,9/25/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,100,Positive,200,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
110,6746,,,,,8mo,NA,Male,,,,29565,1/18/19,10/10/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/10/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
111,6748,,,,,>2yrs,5,Female,,,,82045,1/17/19,1/16/22,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
112,6752,,,,,20mo,NA,Male,,,,29541,1/10/19,11/29/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/29/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
113,6756,,,,,20mo,2,Female,,,,80573,1/4/19,2/10/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/10/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
114,6758,,,,,8mo,NA,Female,,,,80605,12/28/18,5/31/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
115,6760,,,,,8mo,NA,Female,,,,82022,2/1/19,7/3/21,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
116,6762,,,,,>2yrs,3,Female,,,,82062,2/6/19,11/30/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/30/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
117,6652,,,,,8mo,NA,Male,,,,24209,3/15/19,1/7/20,censor,24224,2/20/20,9/23/20,mortality,NA,NA,NA,NA,9/23/20,TRUE,Pending,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
118,6642,,,,,8mo,NA,Female,,,,82002,3/15/19,2/25/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/25/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
119,6648,,,,,8mo,NA,Male,,,,24967,3/15/19,2/1/21,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
120,6663,,,,,8mo,NA,Female,,,,80582,3/17/19,8/23/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,8/23/19,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Positive,100,Negative,100,,,,,,,,,,,,,,,,,,
121,6704,,,,,8mo,NA,Male,,,,24228,3/15/19,11/25/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/25/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
122,6710,,,,,8mo,NA,Male,,,,24943,2/21/19,1/4/21,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
123,6732,,,,,>2yrs,4,Male,,,,24953,3/1/19,11/25/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/25/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
124,6736,,,,,>2yrs,1,Female,,,,43210,3/3/19,4/8/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,4/8/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
125,6740,,,,,8mo,NA,Male,,,,29443,1/27/19,11/22/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/22/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
126,6592,,,,,>2yrs,9,Female,,,,82056,1/28/19,12/21/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/21/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,100,Negative,100,Positive,200,Positive,100,,,,,,,,,,,,,,,,,,
127,6596,,,,,>2yrs,1,Female,,,,82010,3/8/19,6/9/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
128,6598,,,,,20mo,NA,Male,,,,24222,1/10/19,3/16/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,11/3/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
129,6600,,,,,8mo,NA,Female,,,,82037,3/17/19,4/7/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,4/7/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
130,6612,,,,,>2yrs,7,Female,,,,82001,3/11/19,3/2/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/2/21,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
131,6614,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
132,6616,,,,,>2yrs,NA,Female,,,,43228,3/11/19,4/10/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,4/10/21,TRUE,Pending,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
133,6618,,,,,8mo,NA,Female,,,,81988,3/11/19,8/15/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,8/15/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
134,6622,,,,,8mo,NA,Male,,,,24233,3/11/19,3/28/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
135,6572,,,,,8mo,NA,Female,,,,81990,2/9/19,2/11/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/11/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
136,6574,,,,,>2yrs,4,Female,,,,82049,1/10/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
137,6576,,,,,8mo,NA,Male,,,,24203,1/20/19,1/23/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,1/23/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
138,6578,,,,,8mo,NA,Female,,,,81987,1/19/19,6/4/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,6/4/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
139,6580,,,,,8mo,NA,Female,,,,82061,1/10/19,1/16/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,1/16/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
140,6582,,,,,8mo,NA,Female,,,,80613,1/2/19,7/10/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,7/10/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
141,6584,,,,,>2yrs,4,Male,,,,29540,1/27/19,3/4/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/4/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
142,6588,,,,,8mo,NA,Male,,,,29538,1/26/19,1/27/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,11/24/20,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
143,6590,,,,,8mo,NA,Male,,,,29428,1/28/19,10/15/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,10/27/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
144,6550,,,,,8mo,NA,Male,,,,24974,1/3/19,11/23/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/23/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
145,6552,,,,,20mo,NA,Female,,,,82051,1/10/19,12/27/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/27/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
146,6554,,,,,>2yrs,9,Female,,,,82009,1/10/19,1/5/23,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
147,6556,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
148,6558,,,,,8mo,NA,Female,,,,81995,1/28/19,11/28/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/28/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
149,6560,,,,,>2yrs,2,Female,,,,82014,2/14/19,7/8/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,7/8/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
150,6562,,,,,8mo,NA,Male,,,,28434,1/20/19,12/3/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,11/14/21,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
151,6566,,,,,8mo,NA,Female,,,,82075,2/6/19,3/16/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/16/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
152,6570,,,,,>2yrs,4,Male,,,,29547,2/5/19,10/31/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/31/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
153,6528,,,,,>2yrs,5,Female,,,,82015,1/27/19,7/17/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
154,6530,,,,,8mo,NA,Male,,,,29557,3/5/19,1/4/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,1/4/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
155,6534,,,,,20mo,NA,Male,,,,29558,1/25/19,11/16/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/16/20,TRUE,Positive,Negative,10,3.32,1,0,Positive,100,Negative,100,Positive,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
156,6536,,,,,>2yrs,1,Female,,,,82027,1/12/19,3/1/22,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/1/22,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
157,6540,,,,,20mo,1,Female,,,,82043,2/1/19,3/15/21,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Positive,20,4.32,1.3,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
158,6542,,,,,8mo,NA,Male,,,,29440,1/17/19,5/18/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
159,6544,,,,,>2yrs,2,Female,,,,82006,1/24/19,5/1/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,5/1/19,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
160,6546,,,,,>2yrs,2,Female,,,,82033,1/11/19,6/17/22,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
161,6548,,,,,>2yrs,2,Female,,,,82029,2/21/19,7/11/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,7/11/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
162,7828,,,,,20mo,NA,Male,,,,29571,1/26/19,6/3/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,6/3/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,100,Negative,100,Negative,100,Positive,200,,,,,,,,,,,,,,,,,,
163,7191,,,,,8mo,NA,Male,,,,24921,2/18/19,3/11/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/11/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
164,7193,,,,,>2yrs,8,Female,,,,80627,1/1/19,7/3/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
165,7098,,,,,20mo,NA,Female,,,,43254,3/5/19,7/5/21,censor,NA,NA,NA,NA,NA,NA,NA,NA,12/25/22,FALSE,Not tested,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
166,6959,,,,,20mo,NA,Male,,,,24208,2/19/19,2/28/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/28/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
167,7830,,,,,>2yrs,NA,Female,,,,82073,1/18/19,12/29/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
168,7850,,,,,>2yrs,8,Female,,,,82057,1/10/19,2/15/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/15/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
169,7256,,,,,8mo,NA,Female,,,,82002,1/25/19,3/13/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/13/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
170,7189,,,,,8mo,NA,Male,,,,24981,2/1/19,2/14/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/14/21,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
171,7096,,,,,>2yrs,3,Male,,,,29426,3/7/19,8/4/21,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
