labid,lowtag,study area,location,lat,long,age.at.col1,th.age,sex,weight,body_condition,pregnancy,collar1,collar1.on,collar1.off,reason.off1,collar2,collar2.on,collar2.off,reason.off2,collar3,collar3.on,collar3.off,reason.off3,mort.date,cwd.test,cwd.result,lab_result_bpv,titer_value,log2,log10,ehdv_result,lb,lb_titer,lc,lc_titer,lg,lg_titer,lh,lh_titer,li,li_titer,lp,lp_titer,exposure_multi,home_range_95_kud_km2,home_range_50_kud_km2,mean_daily_dist_km,prop_habitat_agri,prop_habitat_forest,prop_habitat_wetland,crop_forest_ratio,edge_density,mean_odba,prop_time_resting,prop_time_active,crepuscularity_index,mean_resting_bout_duration_hrs,daily_resting_bout_frequency,fate,mortality_date,mortality_cause 
20,5068,,,,,8mo,NA,Male,,,,24227,3/1/17,2/18/19,censor,NA,NA,NA,NA,24932,2/18/19,5/23/20,censor,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,200,,,,,,,,,,,,,,,,,,
21,5531,,,,,8mo,NA,Male,,,,29555,1/18/19,10/31/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/31/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
22,5569,,,,,>2yrs,NA,Female,,,,82053,3/3/19,7/4/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
23,5589,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,200,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
24,5653,,,,,8mo,NA,Male,,,,29568,1/23/19,1/26/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,1/26/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
25,5665,,,,,>2yrs,3,Female,,,,43216,3/3/19,8/1/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,8/1/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
26,5691,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
27,5959,,,,,8mo,NA,Female,,,,82040,1/9/19,12/20/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
28,6127,,,,,8mo,NA,Male,,,,24211,12/11/18,11/21/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,6400,,,,,,,,,,,,,,,,,,
29,5103,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
30,5551,,,,,8mo,NA,Female,,,,81993,2/11/19,7/13/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
31,5571,,,,,20mo,NA,Male,,,,29441,3/2/19,3/4/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/4/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
32,5593,,,,,20mo,NA,Female,,,,80581,2/18/19,2/1/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/1/20,TRUE,Pending,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
33,5655,,,,,>2yrs,2,Male,,,,24960,2/28/19,11/7/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/7/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
34,5673,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
35,5693,,,,,20mo,NA,Female,,,,NA,NA,NA,NA,84565,1/21/20,NA,NA,NA,NA,NA,NA,NA,Not tested,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
36,5985,,,,,8mo,NA,Female,,,,82003,1/11/19,12/30/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/30/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
37,6039,,,,,20mo,NA,Male,,,,24226,2/28/19,6/3/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,6/3/19,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
38,5119,,,,,8mo,NA,Female,,,,80584,2/3/18,1/15/20,censor,NA,NA,NA,NA,84571,1/15/20,NA,NA,2/14/23,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
39,5553,,,,,20mo,NA,Female,,,,82034,3/4/19,10/25/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/25/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
40,5573,,,,,20mo,NA,Male,,,,24218,2/28/19,3/12/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,12/6/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,200,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
41,5595,,,,,8mo,NA,Male,,,,29576,2/19/19,2/15/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/15/21,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
42,5657,,,,,8mo,NA,Female,,,,82020,1/23/19,10/26/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/26/20,TRUE,Negative,Positive,40,5.32,1.6,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,800,,,,,,,,,,,,,,,,,,
43,5675,,,,,20mo,4,Female,,,,43294,2/21/19,4/15/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,4/15/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,100,,,,,,,,,,,,,,,,,,
44,5695,,,,,>2yrs,5,Female,,,,82076,2/14/19,12/31/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/31/21,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
45,6023,,,,,20mo,NA,Female,,,,82072,1/10/19,11/20/22,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/20/22,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
46,6272,,,,,20mo,NA,Female,,,,43202,2/28/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
47,5143,,,,,8mo,NA,Female,,,,80593,2/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,160,7.32,2.2,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,800,,,,,,,,,,,,,,,,,,
48,5555,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,160,7.32,2.2,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
49,5575,,,,,>2yrs,2,Female,,,,82059,3/6/19,12/14/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/14/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
50,5597,,,,,20mo,NA,Male,,,,29550,2/22/19,11/6/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/6/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
51,5659,,,,,>2yrs,15,Female,,,,43249,3/7/19,10/17/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/17/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Positive,100,Negative,100,,,,,,,,,,,,,,,,,,
52,5677,,,,,>2yrs,1,Female,,,,82042,2/16/19,11/30/21,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
53,5697,,,,,8mo,NA,Female,,,,82025,2/14/19,7/13/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,11/23/21,TRUE,Negative,Negative,10,3.32,1,0,Positive,800,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
54,6025,,,,,>2yrs,9,Female,,,,82018,1/19/19,11/25/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/25/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
55,6061,,,,,>2yrs,12,Female,,,,80614,1/10/19,2/10/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/10/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
56,5153,,,,,8mo,NA,Female,,,,24971,1/24/18,7/28/18,censor,80646,12/28/18,9/16/21,censor,NA,NA,NA,NA,3/19/23,TRUE,Positive,Negative,10,3.32,1,0,Positive,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
57,5557,,,,,20mo,1,Male,,,,29438,2/19/19,12/1/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/1/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
58,5577,,,,,8mo,NA,Female,,,,81992,3/12/19,11/26/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/26/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
